Address,First_Activity,Last_Activity,All_Addresses,Ward,Description,Proposed_Use,Storeys,Units,Planner,Num_apps,Apps,Supporting_Docs,Link
545 SHERBOURNE ST,"Aug 14, 2015","Apr 27, 2018","['3 HOWARD ST ,5 HOWARD ST ,7 HOWARD ST ,545 SHERBOURNE ST ,545-565 SHERBOURNE ST ,583 SHERBOURNE ST ,589 SHERBOURNE ST ,591 SHERBOURNE ST ,595 SHERBOURNE ST ,597 SHERBOURNE ST ,599 SHERBOURNE ST ,601 SHERBOURNE ST']",28,"Site Plan Control application for a 58-storey rental building, with retail uses at grade. The existing heritage designated building at 601 Sherbourne Street (known as the Thomas Cruttenden Building) will be retained and no changes will be made to the existing rental units within the building. The existing underground parking garage on the Block will be modified to connect below grade to the new building. The new building will have a total Gross Floor Area (GFA) of approximately 40,800 square metres, of which approximately 420 square metres will be at grade retail space. A total of 640 new rental residential units are proposed. The new development will result in a total of 2,165 units of market rental units (in bachelor, one-bedroom, two-bedroom and three-bedroom configurations) on the Block and an overall Floor Space Index (FSI) of 7.66.",---,,,"Jason Brander, Planner, (416) 338-2577, Jason.Brander@toronto.ca ",2.0,"[['Site Plan Approval', '18 149815 STE 28 SA', 'Apr 27, 2018', 'Under Review'], ['Rezoning', '15 206976 STE 28 OZ', 'Aug 14, 2015', 'Under Review']]","['Planning Rationale: Feb 9, 2016: Download : : Pedestrian Level Wind Study: Mar 12, 2018: Download : : Housing Issues Report: Feb 27, 2017: Download : : Sun/Shadow Study: Dec 19, 2017: Download : : Toronto Green Standards Checklist: Mar 12, 2018: Download : : Heritage Impact Statement: Dec 19, 2017: Download : : Stormwater Management Report: Mar 12, 2018: Download : : Transportation Impact Study: Dec 19, 2017: Download : : Servicing Report: Mar 12, 2018: Download : : Geotechnical Study (Part 1 of 2): Dec 19, 2017: Download : : Geotechnical Study (Part 1 of 2): Dec 19, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Aug 18, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Aug 18, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Aug 18, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Aug 18, 2015: Download : : Application Form: Aug 18, 2015: Download : : Application Form: Aug 18, 2015: Download : : Resubmission Form: Mar 12, 2018: Download : : ESC Plan: Mar 12, 2018: Download : : TIS Memo: Mar 12, 2018: Download : : Hydrogeological Review Summary: Mar 12, 2018: Download : : Housing Issues Report Addendum: Mar 12, 2018: Download : : Response to ECS Comments: Mar 12, 2018: Download : : Architectural Response to Comments: Mar 12, 2018: Download : : Servicing Report GW Summary: Mar 12, 2018: Download : : Detailed Revision List: Mar 12, 2018: Download : : Survey Plans: Aug 18, 2015: Download : : Survey Plans: Aug 18, 2015: Download : : Survey Plans: Aug 18, 2015: Download : : Architectural Plans: Mar 12, 2018: Download : : Civil and Utilities Plans: Mar 12, 2018: Download : : Landscape and Lighting Plans: Aug 18, 2015: Download : : Memo re: 3-bdrm units: Mar 12, 2018: Download : : Cover Letter, HIA: Mar 12, 2018: Download : : Memo Re: Loading Space: Mar 12, 2018: Download : : Project Data Sheet: Mar 12, 2018: Download : : Cover Letter: Mar 12, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Feb 27, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Dec 19, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3806580&isCofASearch=false&isTlabSearch=false
545-565 SHERBOURNE ST,"Dec 19, 2008","Apr 05, 2017","['545 SHERBOURNE ST ,545-565 SHERBOURNE ST ,555 SHERBOURNE ST']",28,Site Plan Application to amend the approved infill tower and townhouses fronting onto Bleeker St (Site Plan Application No. 11 117944 STE 28 SA). This application proposes to permit design revisions to the above-noted infill tower and townhouses.,---,,,"Jason Brander, Planner, (416) 338-2577, Jason.Brander@toronto.ca ",3.0,"[['Site Plan Approval', '17 123712 STE 28 SA', 'Mar 2, 2017', 'Under Review'], ['Site Plan Approval', '11 117944 STE 28 SA', 'Feb 1, 2011', 'Closed'], ['Rezoning', '08 231178 STE 28 OZ', 'Dec 19, 2008', 'Closed']]","['Toronto Green Standards Checklist: Mar 17, 2017: Download : : Stormwater Management Report: Apr 5, 2017: Download : : Application Form: Mar 17, 2017: Download : : Linked Document: Apr 5, 2017: Download : : Survey Plans: Mar 17, 2017: Download : : Architectural Plans - Part 1 of 5: Mar 17, 2017: Download : : Architectural Plans - Part 2 of 5: Mar 17, 2017: Download : : Architectural Plans - Part 3 of 5: Mar 17, 2017: Download : : Architectural Plans - Part 4 of 5: Mar 17, 2017: Download : : Architectural Plans - Part 5 of 5: Mar 17, 2017: Download : : Project Data Sheet: Mar 17, 2017: Download : : Application Checklist: Mar 17, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=2391789&isCofASearch=false&isTlabSearch=false
75 THE ESPLANADE,"Feb 24, 2015","Feb 09, 2018",['75 THE ESPLANADE'],28,"Proposal for site plan approval for a 34 storey mixed use building consisting of 1,426 sq m of retail and 350 residential dwelling units, and 3 storeys of underground parking",---,,,"Elise Hug, Acting Manager, Community Planning, 416-338-2560, Elise.Hug@toronto.ca ",2.0,"[['Site Plan Approval', '15 120721 STE 28 SA', 'Feb 24, 2015', 'Under Review'], ['Rezoning', '15 120727 STE 28 OZ', 'Feb 24, 2015', 'Under Review']]","['Planning Rationale: Feb 24, 2015: Download : : Pedestrian Level Wind Study: Nov 7, 2017: Download : : Sun/Shadow Study: Jan 27, 2017: Download : : Toronto Green Standards Checklist: Oct 27, 2016: Download : : Noise Impact Study : Nov 7, 2017: Download : : Vibration Study: Nov 7, 2017: Download : : Stormwater Management Report: Feb 9, 2018: Download : : Traffic Operations Assessment: Feb 24, 2015: Download : : Servicing Report: Feb 9, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 13, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 13, 2017: Download : : Application Form: Feb 24, 2015: Download : : Resubmission Form: Feb 9, 2018: Download : : Email Correspondence: Feb 9, 2018: Download : : Landscape Cost Estimate: Feb 9, 2018: Download : : Qualified Person Preliminary Statement Letter: Feb 9, 2018: Download : : Detailed Revision List: Feb 9, 2018: Download : : Survey Plans: Oct 27, 2016: Download : : Architectural Plans: Feb 9, 2018: Download : : Civil and Utilities Plans: Feb 9, 2018: Download : : Landscape and Lighting Plans: Feb 9, 2018: Download : : Wind Study Addendum Letter: Oct 27, 2016: Download : : Planning Addendum Letter: Oct 27, 2016: Download : : Traffic Response Letter: Oct 27, 2016: Download : : Project Data Sheet: Feb 9, 2018: Download : : Cover Letter: Feb 9, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Oct 13, 2017: Download : : Energy Efficiency Report: Nov 7, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Oct 13, 2017: Download : : Application Checklist: Feb 24, 2015: Download : : Disclaimer', 'Planning Rationale: Feb 24, 2015: Download : : Sun/Shadow Study: Jan 27, 2017: Download : : Toronto Green Standards Checklist: Oct 27, 2016: Download : : Noise Impact Study : Oct 13, 2017: Download : : Traffic Operations Assessment: Feb 24, 2015: Download : : Servicing Report: Oct 13, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 13, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 13, 2017: Download : : Application Form: Feb 24, 2015: Download : : Resubmission Form: Oct 13, 2017: Download : : Application To Destroy Trees: Oct 13, 2017: Download : : Landscape Cost Estimate: Oct 13, 2017: Download : : Landscape Cover Letter: Oct 13, 2017: Download : : Structural Letter For Cistern: Oct 13, 2017: Download : : Survey Plans: Oct 27, 2016: Download : : Architectural Plans: Oct 13, 2017: Download : : Civil and Utilities Plans: Oct 13, 2017: Download : : Landscape and Lighting Plans: Oct 13, 2017: Download : : Correspondence: Jul 18, 2017: Download : : Project Data Sheet: Oct 13, 2017: Download : : Cover Letter: Oct 13, 2017: Download : : Draft Zoning Bylaw Amendment 569-2013: Oct 13, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Oct 13, 2017: Download : : Application Checklist: Feb 24, 2015: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3704774&isCofASearch=false&isTlabSearch=false
125 THE ESPLANADE,"Jul 31, 2006","Jun 02, 2017",['125 THE ESPLANADE'],28,Proposed Temporary Use Zoning Bylaw to extend the existing Temporary Use Zoning Bylaw (No. 561-2014)for a period of 3 years. The By-law serves to permit a temporary structure for the 'North Market' that contains retail uses and eating establishments.,---,,,"Thomas Rees, Planner, 416-392-1791, Thomas.Rees@toronto.ca ",3.0,"[['Rezoning', '17 172081 STE 28 OZ', 'Jun 2, 2017', 'Closed'], ['Site Plan Approval', '14 168229 STE 28 SA', 'Jun 4, 2014', 'Closed'], ['Rezoning', '06 162241 STE 28 OZ', 'Jul 31, 2006', 'Council Approved\xa0\xa0 Sep 30, 2009']]","['Survey Plans: Jun 2, 2017: Download : : Architectural Plans: Jun 2, 2017: Download : : Architectural Plans: Jun 2, 2017: Download : : Architectural Plans: Jun 2, 2017: Download : : Architectural Plans: Jun 2, 2017: Download : : Cover Letter: Jun 2, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Jun 2, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=1739277&isCofASearch=false&isTlabSearch=false
240 WELLESLEY ST E,"Apr 24, 2018","May 09, 2018","['650 PARLIAMENT ST ,240 WELLESLEY ST E']",28,"Official Plan and Zoning By-law Amendments to facilitate the revitalization of a large rental apartment building complex known as Wellesley-Parliament Square (located within St. James Town). The proposed development consists of: - changes to the ground floor layout and uses of the existing buildings - changes to the underground parking garage and configuration of loading and servicing areas - changes to the existing network of private streets and open spaces, including the proposed introduction of a public right-of-way (Rose Avenue) and a public park - the development of a new 51-storey tower with a 10-storey base building and 4-storey commercial base building (Builidng B2) - the development of a new 10-storey residential rental building (Building B1) - the development of a 5-storey non-residential building (Building B2) attached to 280 Wellesley St E - the development of four 3-storey townhouse blocks (A3, B3, B4, B5). The existing floor space index is 3.71 and the proposed floor space index is 5.49. There are 2,224 existing dwelling units and an additional 887 proposed dwelling units. There is 2,490 sq. metres of existing non-residential space and an additional 9,685 square metres of proposed non-residential space. There are approximately 1,555 existing parking spaces and an additional 29 proposed parking spaces.",---,,,"Thomas Rees, Planner, 416-392-1791, Thomas.Rees@toronto.ca ",1.0,"[['OPA & Rezoning', '18 148195 STE 28 OZ', 'Apr 24, 2018', 'Under Review']]","['Planning Rationale: May 9, 2018: Download : : Housing Issues Report: Apr 25, 2018: Download : : Sun/Shadow Study: Apr 25, 2018: Download : : Stormwater Management Report: Apr 25, 2018: Download : : Transportation Impact Study: Apr 25, 2018: Download : : Servicing Report: Apr 25, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 25, 2018: Download : : Application Form: Apr 25, 2018: Download : : RH Declaration and Screening Form: Apr 25, 2018: Download : : Response to Preliminary Comments: Apr 25, 2018: Download : : Survey Plans: Apr 25, 2018: Download : : Architectural Plans: Apr 25, 2018: Download : : Civil and Utilities Plans: Apr 25, 2018: Download : : Civil and Utilities Plans: Apr 25, 2018: Download : : Project Data Sheet: Apr 25, 2018: Download : : Cover Letter: Apr 25, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Apr 25, 2018: Download : : Draft Zoning Bylaw Amendment FGZBL: Apr 25, 2018: Download : : Draft Official Plan Amendment: Apr 25, 2018: Download : : Fee Schedules: Apr 25, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4359540&isCofASearch=false&isTlabSearch=false
1 YONGE ST,"Mar 06, 2013","Nov 22, 2017","['1 YONGE ST ,1 YONGE ST ,7 YONGE ST']",28,"The Applicant, Pinnacle International (Seven Yonge) Ltd., has submitted a Site Plan Application for the development of the northern parcel at 1-7 Yonge Street (this application is for Phases 2 & 3 of the overall development, whereas Site Plan File # 16 269114 STE 28 SA has been submitted for Phase 1 of the subject site, and circulated internally). This proposal is for a 95-storey, 307 metre high mixed-use building (Phase 2) and an 80-storey, 263.6 metre high mixed-use building (Phase 3) with a total GFA for both buildings of 178,898 square metres (the GFA includes 161,887 square metres of residential use in both buildings, 11,725 square metres of a hotel use in Phase 2, and 5,286 square metres of retail use in both buildings). The residential use GFA for Phase 3 is inclusive of 12,411 square metres devoted to affordable rental housing uses. The total FSI for Phases 2 and 3 is 27.2 (the total FSI for Phases 1, 2 and 3 is 19.6 for a site area of 12,153.9 square metres). A total of 2,171 residential units (including 124 affordable rental housing units) are proposed for Phases 2 and 3. The proposal also includes 739 vehicular parking spaces, 2,636 bicycle parking spaces, 3,691 square metres of indoor amenity and 4,125 square metres of outdoor amenity space to serve the development. The associated Official Plan and Rezoning Amendment Application (# 13 129256 STE 28 OZ) for the entire development (Phases 1 to 5) at 1-7 Yonge Street is before the OMB. Council has endorsed proceeding to a settlement in accordance with the terms outlined in a Directions Report to TEYCC in June 2016. The settlement hearing has been scheduled for March 30, 2017.",Mixed Use,95,2171,"Daniel Woolfson, Planner, 416-392-7574, Daniel.Woolfson@toronto.ca ",4.0,"[['Site Plan Approval', '17 108913 STE 28 SA', 'Jan 25, 2017', 'Under Review'], ['Site Plan Approval', '16 269114 STE 28 SA', 'Dec 20, 2016', 'Under Review'], ['Subdivision Approval', '16 126393 STE 28 SB', 'Mar 11, 2016', 'Under Review'], ['OPA & Rezoning', '13 129256 STE 28 OZ', 'Mar 6, 2013', 'Under Review']]","['Application Form: Jan 26, 2017: Download : : Survey Plans: Jan 26, 2017: Download : : Architectural Plans - 1 of 2: Jan 26, 2017: Download : : Architectural Plans - 2 of 2: Jan 26, 2017: Download : : Project Data Sheet: Jan 26, 2017: Download : : Cover Letter: Jan 26, 2017: Download : : Fee Schedules: Jan 26, 2017: Download : : Disclaimer', 'Planning Rationale: Jun 5, 2017: Download : : Pedestrian Level Wind Study: Jun 5, 2017: Download : : Sun/Shadow Study: Jun 5, 2017: Download : : Toronto Green Standards Checklist: Nov 15, 2017: Download : : Stormwater Management Report: Nov 15, 2017: Download : : Transportation Impact Study: Jun 5, 2017: Download : : Servicing Report: Nov 15, 2017: Download : : Application Form: Dec 20, 2016: Download : : Resubmission Form: Nov 15, 2017: Download : : Loading Area Designs Loads: Nov 15, 2017: Download : : Detailed Revision List (Arch): Nov 15, 2017: Download : : Detailed Revision List (ECS): Nov 15, 2017: Download : : Detailed Revision List (Landscape): Nov 15, 2017: Download : : Detailed Revision List (Transpo): Nov 15, 2017: Download : : Detailed Revision List (Sustainability): Nov 15, 2017: Download : : Survey Plans: Dec 20, 2016: Download : : Architectural Plans (Part 1 of 2): Nov 22, 2017: Download : : Architectural Plans (Part 2 of 2): Nov 22, 2017: Download : : Civil and Utilities Plans: Nov 15, 2017: Download : : Landscape and Lighting Plans: Nov 15, 2017: Download : : Sustainability Cover Letter: Jun 5, 2017: Download : : Arch Response Letter: Jun 5, 2017: Download : : Civil Response Letter: Jun 5, 2017: Download : : Landscape Response Letter: Jun 5, 2017: Download : : Project Data Sheet: Nov 15, 2017: Download : : Cover Letter: Nov 15, 2017: Download : : Energy Efficiency Report: Jun 5, 2017: Download : : Disclaimer', 'Application Form: Mar 11, 2016: Download : : Survey Plans: Mar 11, 2016: Download : : Disclaimer', 'Planning Rationale: May 8, 2013: Download : : Pedestrian Level Wind Study: Feb 24, 2016: Download : : Sun/Shadow Study: Feb 24, 2016: Download : : Toronto Green Standards Checklist: Dec 20, 2016: Download : : Noise Impact Study : Apr 26, 2016: Download : : Stormwater Management Report: May 8, 2013: Download : : Environmental Impact Study: May 8, 2013: Download : : Transportation Impact Study: Oct 11, 2016: Download : : FSR - Part 1 of 5: Oct 11, 2016: Download : : FSR - Part 2 of 5: Oct 11, 2016: Download : : FSR - Part 3 of 5: Oct 11, 2016: Download : : FSR - Part 4 of 5: Oct 11, 2016: Download : : FSR - Part 5 of 5: Oct 11, 2016: Download : : Geotechnical Study: Nov 4, 2015: Download : : Correspondence: Feb 24, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Feb 24, 2016: Download : : Resubmission Form: Dec 20, 2016: Download : : Planning Addendum Letter: Sep 20, 2016: Download : : Survey Plans: Feb 24, 2016: Download : : Architectural Plans: Dec 22, 2016: Download : : Civil and Utilities Plans: Feb 24, 2016: Download : : Landscape and Lighting Plans: Dec 20, 2016: Download : : Transportation Letter: Dec 22, 2016: Download : : Project Data Sheet: Dec 20, 2016: Download : : Cover Letter: Dec 20, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3307989&isCofASearch=false&isTlabSearch=false
796 BROADVIEW AVE,"Dec 22, 2014","Mar 07, 2018","['796 BROADVIEW AVE ,798 BROADVIEW AVE ,800 BROADVIEW AVE ,802 BROADVIEW AVE']",29,Proposal for a 6 storey mixed use building with a retail ground floor and a total of 30 residential units and underground parking,---,,,"George Pantazis, Planner, 416-392-3566, George.Pantazis@toronto.ca ",2.0,"[['Site Plan Approval', '14 266636 STE 29 SA', 'Dec 22, 2014', 'Under Review'], ['Rezoning', '14 266616 STE 29 OZ', 'Dec 22, 2014', 'Under Review']]","['Sun/Shadow Study: Dec 22, 2014: Download : : Stormwater Management Report: Jul 7, 2016: Download : : Traffic Operations Assessment: Dec 22, 2014: Download : : Servicing Report: Mar 7, 2018: Download : : Geotechnical Study: Nov 22, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Mar 7, 2018: Download : : Application Form: Dec 22, 2014: Download : : Resubmission Form: Mar 7, 2018: Download : : Combined san-storm sewer Report: Mar 7, 2018: Download : : Detailed Revision List: Mar 7, 2018: Download : : Survey Plans: Nov 22, 2017: Download : : Architectural Plans: Nov 22, 2017: Download : : Architectural Plans: Nov 22, 2017: Download : : Civil and Utilities Plans: Nov 22, 2017: Download : : Landscape Plans: Mar 7, 2018: Download : : Lighting Plans: Mar 7, 2018: Download : : Engineering Response Letter: Apr 4, 2017: Download : : Project Data Sheet: Nov 22, 2017: Download : : Cover Letter: Mar 7, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3676555&isCofASearch=false&isTlabSearch=false
837 BROADVIEW AVE,"Sep 26, 2003","Sep 12, 2013",['837 BROADVIEW AVE'],29,"Proposal for Part Lot Control (13-234974) and Common Elements (13-234997) for 14 freehold townhouse units (3 storeys) with a proposed 2,259.54m2 of residential gross floor area, 502m2 of landscape open space, 157m2 of paved surface and 14 below grade parking spots.",---,,,"Francis Kwashie, Senior Planner, 416-392-1306, Francis.Kwashie@toronto.ca ",3.0,"[['Part Lot Control Exemption', '13 234974 STE 29 PL', 'Sep 12, 2013', 'Closed'], ['Condominium Approval', '13 234977 STE 29 CD', 'Sep 12, 2013', 'Closed'], ['Site Plan Approval', '03 179087 STE 29 SA', 'Sep 26, 2003', 'Final Approval Completed\xa0\xa0 Oct 19, 2010']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=1376853&isCofASearch=false&isTlabSearch=false
954 BROADVIEW AVE,"Feb 16, 2018","Feb 16, 2018","['954 BROADVIEW AVE ,956 BROADVIEW AVE ,958 BROADVIEW AVE ,72 CHESTER HILL RD']",29,Proposal is to amend the Official Plan to allow for an 18 storey seniors' residence incorporating the original heritage school house.,---,18,0,"George Pantazis, Planner, 416-392-3566, George.Pantazis@toronto.ca ",1.0,"[['OPA', '18 118403 STE 29 OZ', 'Feb 16, 2018', 'Under Review']]","['Application Form: Feb 16, 2018: Download : : Architectural Plans: Feb 16, 2018: Download : : Project Data Sheet: Feb 16, 2018: Download : : Cover Letter: Feb 16, 2018: Download : : Draft Official Plan Amendment: Feb 16, 2018: Download : : Application Form: Feb 16, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4324375&isCofASearch=false&isTlabSearch=false
995 BROADVIEW AVE,"Nov 23, 2017","Feb 13, 2018","['1001 BROADVIEW AVE ,1003 BROADVIEW AVE ,1005 BROADVIEW AVE ,995 BROADVIEW AVE ,999 BROADVIEW AVE ,2 MORTIMER AVE ,4 MORTIMER AVE']",29,"Zoning By-law Amendment to facilitate redevelopment of the site with a 10-storey mixed use building: 111 dwelling units, height 38.64 metres, 8261 square metres of residential gross floor area and 449 square metres of retail space on the ground floor",---,10,111,"George Pantazis, Planner, 416-392-3566, George.Pantazis@toronto.ca ",1.0,"[['OPA & Rezoning', '17 266470 STE 29 OZ', 'Nov 23, 2017', 'Under Review']]","['Planning Rationale: Nov 24, 2017: Download : : Pedestrian Level Wind Study: Nov 24, 2017: Download : : Sun/Shadow Study: Nov 24, 2017: Download : : Toronto Green Standards Checklist: Nov 24, 2017: Download : : Stormwater Management Report: Feb 13, 2018: Download : : Contaminated Site Assessment (1 of 2): Dec 20, 2017: Download : : Contaminated Site Assessment (2 of 2): Dec 20, 2017: Download : : Transportation Impact Study: Nov 24, 2017: Download : : Servicing Report: Feb 13, 2018: Download : : Geotechnical Study: Dec 20, 2017: Download : : Arborist Report: Nov 24, 2017: Download : : Tree Preservation Plan: Nov 24, 2017: Download : : Application Form: Nov 24, 2017: Download : : Resubmission Form: Feb 13, 2018: Download : : Hydrogeological Assessment: Feb 13, 2018: Download : : Hydrological Review Checklist: Feb 13, 2018: Download : : Mechanical Engineer Letter: Feb 13, 2018: Download : : Servicing Report Groundwater Checklist: Feb 13, 2018: Download : : Detailed Revision List: Feb 13, 2018: Download : : Survey Plans: Nov 24, 2017: Download : : Architectural Plans: Nov 24, 2017: Download : : Landscape and Lighting Plans: Nov 24, 2017: Download : : Project Data Sheet: Dec 20, 2017: Download : : Cover Letter: Feb 13, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Nov 24, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Nov 24, 2017: Download : : Draft Official Plan Amendment: Nov 24, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4285622&isCofASearch=false&isTlabSearch=false
1132 BROADVIEW AVE,"Nov 03, 2017","Jan 04, 2018",['1132 BROADVIEW AVE'],29,"This application is for an Official Plan Amendment ONLY, not a rezoning or site plan application. The proposal is to amend the Official Plan through a site specific policy that will recognize the potential future redevelopment of the site with a building up to 11 storeys in height (plus mechanical penthouse) while maintaining the heritage cottage in the rear of the property. Please note that this applicant has appealed the Broadview Avenue Official Plan Amendment.",---,11,223,"George Pantazis, Planner, 416-392-3566, George.Pantazis@toronto.ca ",1.0,"[['OPA', '17 257808 STE 29 OZ', 'Nov 3, 2017', 'Under Review']]","['Urban Design Guidelines: Nov 7, 2017: Download : : Heritage Impact Statement: Nov 7, 2017: Download : : Stormwater Management Report: Nov 7, 2017: Download : : Transportation Impact Study: Nov 7, 2017: Download : : Servicing Report: Nov 7, 2017: Download : : Application Form: Nov 7, 2017: Download : : Resubmission Form: Jan 4, 2018: Download : : Hydrogeological Assessment: Jan 4, 2018: Download : : Detailed Revision List: Jan 4, 2018: Download : : Survey Plans: Nov 7, 2017: Download : : Architectural Plans: Nov 7, 2017: Download : : Landscape and Lighting Plans: Nov 7, 2017: Download : : Project Data Sheet: Nov 7, 2017: Download : : Cover Letter: Jan 4, 2018: Download : : Energy Efficiency Report: Nov 7, 2017: Download : : Draft Official Plan Amendment: Nov 7, 2017: Download : : Application Checklist: Nov 7, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4275431&isCofASearch=false&isTlabSearch=false
14 DEWHURST BLVD,"Oct 23, 2015","Apr 25, 2018",['14 DEWHURST BLVD'],29,Proposed 4 storey residential apartment building in a neighbourhood.,---,,,"George Pantazis, Planner, 416-392-3566, George.Pantazis@toronto.ca ",3.0,"[['OPA', '16 120897 STE 29 OZ', 'Feb 26, 2016', 'Under Review'], ['Rezoning', '15 241882 STE 29 OZ', 'Oct 23, 2015', 'Under Review'], ['Site Plan Approval', '15 241886 STE 29 SA', 'Oct 23, 2015', 'Under Review']]","['Draft Official Plan Amendment: Sep 21, 2017: Download : : Disclaimer', 'Planning Rationale: Oct 23, 2015: Download : : Toronto Green Standards Checklist: Oct 23, 2015: Download : : Heritage Impact Statement: Sep 27, 2017: Download : : Stormwater Management Report: Apr 25, 2018: Download : : Parking Study: Oct 23, 2015: Download : : Combined Sewer Capacity Analysis: Aug 9, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 23, 2015: Download : : Application Form: Oct 23, 2015: Download : : Resubmission Form: Apr 25, 2018: Download : : Groundwater Review Form: Apr 25, 2018: Download : : Document List: Apr 25, 2018: Download : : Hydrogeological Investigation: Apr 25, 2018: Download : : Green Roof Details: Apr 25, 2018: Download : : Sewer Capacity Analysis: Apr 25, 2018: Download : : Detailed Revision List: Apr 25, 2018: Download : : Survey Plans: Oct 23, 2015: Download : : Architectural Plans: Apr 25, 2018: Download : : Civil and Utilities Plans: Apr 25, 2018: Download : : Landscape and Lighting Plans: Apr 25, 2018: Download : : Response to Comments re: Combined Sewer: Apr 25, 2018: Download : : Letter re: Private Water Discharge: Apr 25, 2018: Download : : Project Data Sheet: Apr 25, 2018: Download : : Cover Letter: Jul 13, 2017: Download : : Disclaimer', 'Planning Rationale: Oct 23, 2015: Download : : Planning Rationale: Oct 5, 2016: Download : : Toronto Green Standards Checklist: Oct 23, 2015: Download : : Toronto Green Standards Checklist: Oct 5, 2016: Download : : Heritage Impact Statement: Oct 23, 2015: Download : : Heritage Impact Statement: Oct 5, 2016: Download : : Stormwater Management Report: Oct 23, 2015: Download : : Stormwater Management Report: Oct 5, 2016: Download : : Parking Study: Oct 23, 2015: Download : : Parking Study: Oct 5, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 23, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 5, 2016: Download : : Application Form: Oct 23, 2015: Download : : Resubmission Form: Dec 15, 2015: Download : : Resubmission Form: Oct 5, 2016: Download : : Document List: Oct 5, 2016: Download : : Response to Dev. Eng. Comments: Oct 5, 2016: Download : : Site_Lighting_Plan: Oct 5, 2016: Download : : Survey Plans: Oct 23, 2015: Download : : TTC_Tunnel_Survey: Oct 5, 2016: Download : : Architectural Plans: Oct 23, 2015: Download : : Architectural Plans: Oct 5, 2016: Download : : Civil and Utilities Plans: Oct 23, 2015: Download : : Civil and Utilities Plans: Oct 5, 2016: Download : : Landscape and Lighting Plans: Oct 23, 2015: Download : : Landscape and Lighting Plans: Oct 5, 2016: Download : : Correspondence: Oct 23, 2015: Download : : Correspondence: Oct 23, 2015: Download : : Project Data Sheet: Oct 23, 2015: Download : : Project Data Sheet: Oct 5, 2016: Download : : Cover Letter: Oct 5, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3847477&isCofASearch=false&isTlabSearch=false
